item_id,description,manufacturer_name
01-004,3/4 401 CHR STEEL 2PC ESC,LIP
01-005,1/2 401 WHITE STEEL 2PC E,LIP
01-006,3/4 401 WHT 2 PC ESCUTCHEON,LIP
01015AF,"ESCUT 3/4NPT 1/8 PCH,ESCUT 3/4NPT 1/8 PCH",
01015AF-L,"ESCUT 3/4NPT 1/8 PCH,ESCUT 3/4NPT 1/8 PCH",
01015AM/B,"ESCUT 3/4NPT 1/8 BLK,ESCUT 3/4NPT 1/8 BLK",
01015AM/W,"ESCUT 3/4NPT 1/8 WHT,ESCUT 3/4NPT 1/8 WHT",
01016AF,"ESCUT 3/4NPT 1 PCH,ESCUT 3/4NPT 1 PCH",
01019B,"CUP,CUP",
01-050,1/2 SHALLOW LT WT CHR ESC,FPP
01054A,"STRAINER,STRAINER",
010H0037EG,"3/8"" HEAVY HEX NUT EG",ERC
010H0050EG,"1/2"" HEAVY HEX NUT EG",ERC
010H0062EG,"5/8"" HEAVY HEX NUT EG",ERC
010H0075EG,"3/4"" HEAVY HEX NUT EG",ERC
010H0087EG,"7/8"" HEAVY HEX NUT EG",ERC
01-100,"KYDEX RING 4""OD WHITE",FPP
0110025EG,"#11 ROUND WASHER 5/16"" EG",ERC
0110037EG,"#11 ROUND WASHER 7/16"" EG",ERC
0110050EG,"#11 ROUND WASHER 5/8"" EG",ERC
0110062EG,"#11 ROUND WASHER 11/16"" EG",ERC
0110075EG,"#11 ROUND WASHER 3/4"" EG",ERC
0110087EG,"#11 ROUND WASHER 7/8"" EG",ERC
01120A,"ORIFICE,ORIFICE",
01124A,"GAUGE,GAUGE",
01-150,3/8 PLASTIC ROD ESC / BUTTON,FPP
01-155,"3PLASTIC ROD BUTTON CP 3/8""",FPP
01-200,1/2 HVY FLOOR CEILING PL,FPP
0120050EG,1/2 FENDER WASHER EG,ERC
01-201,3/4 FLOOR & CEILING PLATE,FPP
01-202,1 FLOOR & CEILING PLATE,FPP
01-203,1 1/4 FLOOR & CEILING PL.,FPP
01-204,1 1/2 FLOOR & CEILING PL.,FPP
01-205,2 FLOOR & CEILING PLATE,FPP
01-206,2 1/2 FLOOR & CEILING PL.,FPP
01-207,3 FLOOR & CEILING PLATE,FPP
01-208,4 FLOOR & CEILING PLATE,FPP
01-209,5 FLOOR & CEILING PLATE,FPP
01-210,6 FLOOR & CEILING PLATE,FPP
01-211,8 FLOOR & CEILING PLATE,FPP
01-212,10 FLOOR & CEILING PLATE,FPP
